O sistema funciona sem falhas.;Os recursos de acessibilidade do sistema são fáceis de encontrar.;O sistema é fácil de usar.;O sistema está disponível para uso em qualquer dia e hora.;O desempenho do sistema é satisfatório, independentemente da forma de acesso.;O sistema informa sobre as políticas de privacidade e segurança.;Acredito que meus dados estão seguros neste sistema.;É fácil localizar os serviços e as informações no sistema.;A navegação pelo sistema é intuitiva.;O sistema oferece instruções úteis de como utilizar os serviços.;As informações são fáceis de entender.;As informações são precisas.;As informações auxiliam na solicitação dos serviços.;Todas as informações necessárias para a solicitação dos serviços são fornecidas.;O prazo de entrega dos serviços é informado.;As taxas cobradas pelos serviços são informadas.;As informações disponibilizadas estão atualizadas.;Os serviços oferecem suporte técnico eficiente.;O atendimento resolve meus problemas.;Os serviços permitem a conclusão das tarefas no menor tempo possível.;Consigo obter o que preciso no menor tempo possível.;Os serviços atendem às minhas expectativas.;Quando preciso de ajuda, minhas dificuldades são resolvidas.;Meus dados são automaticamente identificados na solicitação dos serviços.;Os serviços oferecidos são confiáveis.;Os serviços permitem interações em tempo real (ex. chatbot, IA).;Qual o seu nível de satisfação com o Sistema?;Qual o seu sexo?;Qual a sua idade?;Qual seu nível de escolaridade completo?;Você é funcionário público?
Concordo;Concordo;Concordo totalmente;Indiferente;Concordo;Concordo totalmente;Discordo;Concordo totalmente;Concordo totalmente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Concordo;Indiferente;Indiferente;Concordo totalmente;Indiferente;Indiferente;Masculino;20;Ensino Superior;Não
Concordo;Indiferente;Indiferente;Indiferente;Concordo;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Concordo;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Feminino;24;Curso Técnico;Não
Discordo;Concordo;Concordo;Não sei;Concordo;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Concordo;Não sei;Satisfeito;Feminino;29;Ensino Médio;Não
Discordo;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Discordo;Discordo;Discordo;Concordo;Concordo;Concordo totalmente;Concordo;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Discordo;Concordo;Concordo;Muito insatisfeito;Masculino;32;Pós-Graduação;Não
Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Discordo;;Indiferente;Discordo;Discordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Concordo;Indiferente;Indiferente;Concordo;Concordo;Concordo;;Discordo;Discordo;Indiferente;Satisfeito;Feminino;29;Ensino Superior;Sim
Discordo;Discordo totalmente;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;;Feminino;37;Pós-Graduação;Sim
Discordo;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Discordo;Não sei;Não sei;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;;Feminino;27;Curso Técnico;Não
Discordo;Discordo;Concordo;Discordo totalmente;Discordo totalmente;Concordo;Concordo;Concordo;Concordo;Discordo totalmente;Concordo;Concordo;Concordo;Discordo;Discordo totalmente;Discordo;Discordo;Discordo totalmente;Concordo;Discordo;Discordo;Discordo;Concordo;Discordo;Discordo;Indiferente;Insatisfeito;Feminino;19;Curso Técnico;Não
Concordo;Discordo;Concordo;Não sei;Concordo totalmente;Concordo totalmente;Concordo totalmente;Discordo;Concordo totalmente;Discordo;Discordo;Não sei;Não sei;Não sei;Não sei;Não sei;Discordo;Não sei;Indiferente;Discordo;Discordo;Discordo;Discordo totalmente;Discordo;Concordo;Concordo;Satisfeito;Feminino;33;Ensino Superior;Não
Concordo;Concordo;Concordo;Não sei;Concordo;Não sei;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Discordo;Indiferente;Discordo;Discordo;Discordo;Não sei;Indiferente;Indiferente;Indiferente;Discordo;Discordo;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Feminino;21;Ensino Médio;Sim
Concordo;Discordo;Discordo;Concordo;Discordo;Concordo;Indiferente;Discordo;Discordo;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Discordo;Indiferente;Indiferente;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Insatisfeito;Masculino;29;Pós-Graduação;Não
Concordo;Discordo;Discordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Discordo;Discordo;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Discordo;Satisfeito;Feminino;41;Pós-Graduação;Não
Concordo;Concordo;Concordo;Não sei;Discordo;Concordo;Concordo;Concordo;Concordo totalmente;Discordo;Concordo;Indiferente;Concordo totalmente;Discordo;Discordo;Não sei;Discordo;Não sei;Indiferente;Concordo;Não sei;Concordo;Concordo;Discordo;Não sei;Discordo;Satisfeito;Feminino;22;Ensino Superior;Não
Concordo;Discordo;Concordo;Concordo;Concordo;Não sei;Não sei;Discordo;Discordo totalmente;Discordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Concordo totalmente;Não sei;Não sei;Indiferente;Concordo;Concordo;Não sei;Discordo;Concordo;Não sei;Satisfeito;Feminino;20;Ensino Médio;Não
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Não sei;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Concordo;Concordo totalmente;Indiferente;Concordo;Indiferente;Concordo;Concordo;Indiferente;Concordo;Indiferente;Satisfeito;Masculino;46;Ensino Superior;Não
Não sei;Não sei;Não sei;Não sei;Não sei;Concordo;Não sei;Indiferente;Concordo;Indiferente;Concordo;Não sei;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Concordo;Não sei;Indiferente;Não sei;Não sei;Não sei;Não sei;Indiferente;Masculino;32;Ensino Superior;Não
Concordo totalmente;Não sei;Concordo;Não sei;Concordo totalmente;Indiferente;Não sei;Concordo;Concordo;Discordo;Concordo;Não sei;Indiferente;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Discordo;Concordo;Não sei;Não sei;Concordo;Não sei;Satisfeito;Masculino;23;Ensino Médio;Não
Concordo;Não sei;Discordo;Concordo;Concordo;Concordo;Discordo;Discordo;Concordo;Discordo totalmente;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Discordo;Concordo;Indiferente;Indiferente;Concordo;Indiferente;Indiferente;Masculino;34;Curso Técnico;Não
Discordo;Discordo;Discordo totalmente;Indiferente;Discordo;Discordo;Indiferente;Discordo;Discordo totalmente;Discordo totalmente;Discordo;Discordo;Indiferente;Discordo;Discordo;Discordo;Indiferente;Discordo;Indiferente;Discordo;Discordo totalmente;Indiferente;Discordo;Discordo;Indiferente;Discordo;Insatisfeito;Masculino;21;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Indiferente;Discordo;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Discordo;Concordo;Indiferente;Indiferente;Concordo;Concordo;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Masculino;27;Ensino Médio;Não
Concordo;Indiferente;Concordo;;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Não sei;Não sei;Não sei;Não sei;Satisfeito;Feminino;21;Ensino Médio;Não
Concordo;Concordo;Concordo totalmente;Não sei;Concordo;Não sei;Não sei;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Concordo;Indiferente;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Satisfeito;Masculino;26;Ensino Médio;Não
Indiferente;Discordo;Concordo;Não sei;Discordo;Concordo;Concordo;Discordo;Discordo;Discordo;Discordo;Não sei;Não sei;Não sei;Discordo;Não sei;Não sei;Não sei;Não sei;Discordo;Discordo;Discordo;Discordo;Discordo;Não sei;Não sei;Indiferente;Feminino;21;Ensino Superior;Não
Discordo totalmente;Concordo;Discordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Discordo;Indiferente;Concordo;Concordo;Indiferente;Indiferente;Concordo;Concordo totalmente;Concordo totalmente;Não sei;Indiferente;Não sei;Concordo totalmente;Concordo totalmente;Indiferente;Concordo;Não sei;Concordo totalmente;Não sei;Satisfeito;Masculino;29;Ensino Médio;Não
Discordo;Discordo;Discordo;Indiferente;Discordo totalmente;Concordo;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Concordo;Indiferente;Concordo totalmente;Discordo;Indiferente;Concordo;Discordo;Discordo totalmente;Discordo;Discordo;Discordo totalmente;Discordo;Discordo totalmente;Discordo;Indiferente;Não sei;Insatisfeito;Masculino;21;Curso Técnico;Não
Discordo totalmente;Discordo;Concordo;Concordo totalmente;Discordo;Concordo;Não sei;Concordo;Concordo;Indiferente;Concordo;Não sei;Concordo totalmente;Não sei;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Concordo;Indiferente;Não sei;Concordo;Não sei;Indiferente;Feminino;21;Ensino Médio;Sim
Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Indiferente;Indiferente;Concordo;Concordo;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Concordo totalmente;Discordo totalmente;Indiferente;Masculino;40;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Concordo;Discordo;Indiferente;Concordo;Indiferente;Não sei;Não sei;Não sei;Indiferente;Não sei;Discordo;Discordo;Indiferente;Indiferente;Indiferente;Concordo;Não sei;Satisfeito;Feminino;21;Ensino Médio;Sim
Concordo;Concordo;Discordo;Concordo;Discordo;Concordo;Concordo;Discordo;Discordo;Discordo;Discordo;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Discordo;Indiferente;Feminino;22;Ensino Médio;Não
Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Indiferente;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Masculino;20;Ensino Superior;Não
Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Indiferente;Indiferente;Discordo;Indiferente;Discordo;Discordo;Discordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Masculino;23;Ensino Médio;Não
Indiferente;Discordo;Concordo;Concordo;Discordo totalmente;Indiferente;Indiferente;Discordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Indiferente;Discordo;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Feminino;23;Ensino Superior;Não
Discordo;Discordo totalmente;Discordo totalmente;Concordo;Discordo;Discordo;Discordo;Discordo totalmente;Discordo;Discordo totalmente;Discordo;Discordo;Discordo;Discordo;Indiferente;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo totalmente;Discordo;Indiferente;Discordo totalmente;Discordo;Insatisfeito;Masculino;24;Ensino Superior;Não
Concordo;Discordo;Discordo;Indiferente;Indiferente;Discordo;Discordo;Discordo;Concordo;Discordo;Concordo;Discordo;Concordo;Discordo;Discordo;Não sei;Concordo;Não sei;Concordo;Concordo;Discordo;Concordo;Discordo;Não sei;Não sei;Discordo;Satisfeito;Masculino;23;Ensino Médio;Não
Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Indiferente;Não sei;Concordo;Não sei;Satisfeito;Masculino;25;Ensino Médio;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Não sei;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Satisfeito;Masculino;21;Ensino Médio;Não
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Concordo totalmente;Indiferente;Indiferente;Indiferente;Indiferente;Concordo;Indiferente;Satisfeito;Masculino;25;Curso Técnico;Não
Concordo totalmente;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Indiferente;Indiferente;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Concordo totalmente;Concordo;Concordo;Satisfeito;Masculino;19;Ensino Superior;Não
Discordo;Discordo;Discordo;Concordo;Discordo;Concordo;Indiferente;Discordo;Discordo;Concordo;Discordo;Discordo;Discordo;Discordo;Indiferente;Discordo;Concordo;Discordo;Indiferente;Discordo;Discordo;Discordo;Discordo;Indiferente;Indiferente;Indiferente;Insatisfeito;Feminino;19;Ensino Médio;Não
Indiferente;Concordo;Indiferente;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Masculino;19;Ensino Superior;Não
Discordo;Indiferente;Concordo;Indiferente;Discordo;Indiferente;Indiferente;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Discordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Feminino;19;Ensino Superior;Não
Concordo;Discordo;Discordo;Concordo;Indiferente;Concordo;Concordo;Discordo totalmente;Discordo;Discordo;Indiferente;Indiferente;Indiferente;Não sei;Não sei;Não sei;Não sei;Discordo;Não sei;Indiferente;Discordo;Discordo;Indiferente;Não sei;Não sei;Não sei;Indiferente;Feminino;19;Ensino Superior;Não
Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Discordo totalmente;Indiferente;Não sei;Discordo;Discordo;Discordo;Discordo;Concordo;Concordo;Discordo;Discordo;Não sei;Indiferente;Discordo;Indiferente;Discordo totalmente;Discordo totalmente;Indiferente;Indiferente;Discordo;Não sei;Não sei;Insatisfeito;Feminino;19;Ensino Médio;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Satisfeito;Masculino;19;Ensino Médio;Não
Discordo;Discordo;Discordo;Concordo totalmente;Discordo;Concordo;Concordo;Discordo;Concordo;Discordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Discordo;Concordo;Discordo;Concordo;Não sei;Indiferente;Feminino;19;Ensino Médio;Não
Discordo;Discordo;Indiferente;Não sei;Concordo;Concordo;Não sei;Discordo;Discordo;Discordo;Concordo;Não sei;Concordo;Não sei;Não sei;Não sei;Concordo;Não sei;Não sei;Não sei;Indiferente;Concordo;Discordo;Não sei;Não sei;Não sei;;Masculino;20;Curso Técnico;Não
Discordo;Indiferente;Discordo;Não sei;Discordo;Discordo;Indiferente;Não sei;Discordo totalmente;Discordo totalmente;Discordo;Indiferente;Indiferente;Discordo;Não sei;Não sei;Discordo;Não sei;Não sei;Discordo totalmente;Discordo totalmente;Concordo;Discordo;Não sei;Não sei;Discordo totalmente;Insatisfeito;Masculino;24;Ensino Médio;Sim
Discordo;Não sei;Discordo;Concordo;Indiferente;Concordo;Concordo;Discordo;Indiferente;Discordo;Concordo;Não sei;Concordo;Concordo;Não sei;Não sei;Concordo;Concordo;Não sei;Concordo;Concordo;Indiferente;Concordo totalmente;Não sei;Concordo;Não sei;Indiferente;Feminino;23;Ensino Médio;Não
Discordo;Discordo;Discordo;Indiferente;Discordo;Indiferente;Indiferente;Discordo;Discordo;Discordo;Discordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Indiferente;Indiferente;Indiferente;Insatisfeito;Masculino;19;Ensino Superior;Não
Concordo;Concordo;Concordo;Não sei;Discordo;Concordo;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Discordo;Não sei;Não sei;Não sei;Não sei;Não sei;Discordo;Discordo;Discordo;Discordo;Não sei;Não sei;Não sei;Insatisfeito;Masculino;42;Pós-Graduação;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Feminino;19;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei;Não sei;Concordo;Discordo;Concordo;Não sei;Não sei;Concordo;Não sei;Satisfeito;Masculino;19;Ensino Médio;Não
Concordo;Concordo;Discordo;Indiferente;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Indiferente;Indiferente;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Concordo;Concordo;Satisfeito;Feminino;19;Ensino Superior;Não
Discordo totalmente;Discordo totalmente;Discordo totalmente;Não sei;Discordo totalmente;Indiferente;Concordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Discordo totalmente;Indiferente;Discordo;Discordo;Não sei;Discordo;Discordo totalmente;Discordo totalmente;Discordo;Discordo totalmente;Discordo totalmente;Não sei;Não sei;Discordo totalmente;Muito insatisfeito;Masculino;20;Ensino Médio;Não
Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Indiferente;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Concordo;Não sei;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;;19;Ensino Superior;Não
Concordo;Discordo;Discordo;Concordo;Concordo;Indiferente;Indiferente;Discordo;Discordo;Discordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Concordo;Discordo;Concordo;Não sei;Não sei;Não sei;Não sei;Satisfeito;Feminino;19;Ensino Médio;Não
Concordo;Concordo;Concordo;Não sei;Concordo;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Masculino;21;Ensino Médio;Não
Concordo;Concordo;Concordo;Não sei;Indiferente;Concordo;Concordo;Concordo;Concordo;Indiferente;Discordo;Concordo;Concordo;Concordo;Discordo;Discordo;Não sei;Não sei;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Satisfeito;Masculino;19;Ensino Médio;Não
Discordo;Concordo;Concordo;Concordo;Discordo;Concordo totalmente;Concordo totalmente;Indiferente;Indiferente;Discordo;Concordo;Não sei;Concordo;Não sei;Não sei;Não sei;Concordo totalmente;Não sei;Não sei;Não sei;Concordo;Concordo;Não sei;Não sei;Concordo;Não sei;Satisfeito;Masculino;19;Ensino Médio;Não
Concordo;Discordo;Discordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Indiferente;Indiferente;Indiferente;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Concordo;Indiferente;Indiferente;Masculino;;Ensino Superior;Não
Concordo;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Indiferente;Concordo;Concordo;Satisfeito;Feminino;19;Ensino Médio;Não
Concordo;;Indiferente;Indiferente;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Masculino;19;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Feminino;23;Ensino Médio;Não
Discordo;Discordo totalmente;Discordo;Não sei;Discordo;Discordo;Não sei;Discordo;Discordo totalmente;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Não sei;Não sei;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Discordo;Discordo;Não sei;Não sei;Não sei;Insatisfeito;Feminino;23;Ensino Superior;Não
Concordo;Concordo;Concordo;Não sei;Discordo;Não sei;Concordo;Discordo;Concordo;Discordo totalmente;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Não sei;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Indiferente;Feminino;22;Ensino Médio;Não
Discordo;Discordo;Discordo;Discordo;Indiferente;Concordo;Discordo;Indiferente;Indiferente;Indiferente;Discordo;Concordo;Concordo;Concordo;Não sei;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo totalmente;Discordo;Discordo;Não sei;Concordo;Não sei;Insatisfeito;Feminino;24;Ensino Médio;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Concordo;Concordo;Concordo;Não sei;Concordo;Concordo;Concordo;Indiferente;Feminino;22;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Discordo;Discordo;Concordo;Indiferente;Discordo;Concordo;Discordo;Concordo;Concordo;Indiferente;Discordo;Indiferente;Discordo;Concordo;Concordo;Discordo;Concordo;Indiferente;Satisfeito;Feminino;23;Ensino Superior;Não
Discordo;Não sei;Discordo;Discordo totalmente;Discordo;Concordo;Concordo;Discordo;Discordo totalmente;Discordo;Concordo;Concordo totalmente;Não sei;Não sei;Concordo;Discordo;Discordo;Não sei;Não sei;Discordo;Discordo;Concordo;Não sei;Discordo;Concordo totalmente;Discordo;Satisfeito;Prefiro não responder;25;Ensino Superior;Não
Indiferente;Discordo;Concordo;Concordo totalmente;Discordo;Concordo;Indiferente;Discordo;Discordo;Indiferente;Discordo;Concordo;Concordo;Não sei;Concordo;Concordo;Não sei;Concordo;Discordo;Discordo;Discordo;Discordo;Não sei;Indiferente;Não sei;Discordo;Insatisfeito;Feminino;23;Ensino Superior;Não
Concordo;Não sei;Concordo;Não sei;Discordo;Concordo totalmente;Concordo totalmente;Discordo;Discordo;Concordo;Concordo;Discordo;Indiferente;Indiferente;Concordo;Concordo;Concordo totalmente;Não sei;Indiferente;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Não sei;Indiferente;Masculino;25;Ensino Superior;Não
Discordo;Discordo;Concordo;Concordo;Discordo;Concordo;Concordo;Discordo;Discordo;Indiferente;Discordo;Indiferente;Discordo;Indiferente;Não sei;Não sei;Discordo;Indiferente;Discordo;Discordo;Discordo;Discordo;Discordo;Não sei;Concordo;Não sei;Muito insatisfeito;Feminino;22;Ensino Superior;Não
Concordo;Concordo;Concordo;Indiferente;Não sei;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Não sei;Não sei;Não sei;Não sei;Concordo;Não sei;Indiferente;Discordo;Concordo;Não sei;Não sei;Não sei;Não sei;Satisfeito;Feminino;22;Ensino Médio;Não
Discordo;Discordo;Concordo;Concordo;Discordo;Não sei;Indiferente;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Discordo;Não sei;Não sei;Concordo;Não sei;Indiferente;Discordo;Discordo;Discordo;Discordo;Não sei;Concordo;Discordo;Insatisfeito;Feminino;22;Ensino Superior;Não
Discordo;Concordo;Concordo;Indiferente;Discordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Não sei;Discordo totalmente;Não sei;Não sei;Não sei;Não sei;Discordo;Não sei;Não sei;Não sei;Não sei;Concordo;Não sei;Indiferente;Feminino;22;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Feminino;22;Ensino Superior;Não
Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Indiferente;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Não sei;Concordo;Indiferente;Concordo totalmente;Concordo totalmente;Concordo;Não sei;Concordo totalmente;Não sei;Satisfeito;Masculino;29;Ensino Médio;Não
Concordo;Discordo;Discordo;Não sei;Discordo;Concordo totalmente;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Concordo;Não sei;Discordo;Concordo;Concordo;Não sei;Concordo totalmente;Não sei;Concordo;Indiferente;Discordo;Discordo;Discordo;Não sei;Indiferente;Não sei;Insatisfeito;Feminino;23;Ensino Superior;Não
